musicName,musicAuthor,musicOriginal,musicAlbum,playUrl,coverMediumUrl,musicId
Made You Look,Meghan Trainor,False,Made You Look,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/8e0db40cdb90447dac880215a9dbed4c,https://p16-sg.tiktokcdn.com/aweme/200x200/tos-alisg-v-2774/d61e0e00c8434b90befe9f28da7cef0d.jpeg,7153075272433060650
I Think I Like When It Rains,WILLIS,False,Locals 2,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/oQPjlOoByA83KJaii1dPUBIGWAlJfphwRsMddq,https://p16-sg.tiktokcdn.com/aweme/200x200/tos-alisg-v-2774/oMJJgQpQGjbnHC8mAIeeFhAAgL1RANDavZszeI.jpeg,6895811481653266433
Cruel Summer,Taylor Swift,False,The More Lover Chapter,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/o4U21zgOfCQJ7hZedDZmTPBG8EBQFtHxb3qYR4,https://p16-sg.tiktokcdn.com/aweme/200x200/tos-alisg-v-2774/oQgCysCFG3fMfvYvAAAzEL8xalDWWfQMAQ4Qxv.jpeg,7211414788142794754
Mary Jane (All Night Long),Mary J. Blige,False,My Life,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/oEpXUdruYRGeh8U8FeLIA0G71fKmDILYQCekAF,https://p16-sg.tiktokcdn.com/aweme/200x200/tos-alisg-v-2774/oI3oEaAzAwAEkCsSAiSDfAVBgc1BUi0ACo4QUW.jpeg,6917763475666110465
sonido original,Cupcakes Lover,True,,https://v19.tiktokcdn-us.com/2f25501aebf1e5d51a859a599512bde7/670eaed6/video/tos/useast5/tos-useast5-v-27dcd7c799-tx/ad7ce6e172644838a87acfed73c15bf1/?a=1233&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=GSDrKInz7Th2m8EOXq8Zmo&mime_type=audio_mpeg&qs=6&rc=ODhpOmloPGc4OGY3OzhkOEBpM2RlcHc7bml5djMzNTU8M0A1YjMyNTQuXzQxLjIvLS8yYSNtXl42XmRhXzNfLS1iMTZzcw%3D%3D&vvpl=1&l=202410151204587CA043A66F338904D9AB&btag=e00088000&download=true,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7326835133292642309~c5_720x720.jpeg?lk3s=a5d48078&nonce=60768&refresh_token=77c297cd77a562855bc26cb51691ce3a&x-expires=1729166400&x-signature=4mdnA9R5PDRTCXfyg9xCYp9ymuY%3D&shp=a5d48078&shcp=b59d6b55,6849400787550898949
Pretty (Sped Up),MEYY,False,Digital Gloss,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/oEJBiA17SWxCsZwCIMAHifl3oWI1zMBUtAJswN,https://p16-sg.tiktokcdn.com/aweme/200x200/tos-alisg-v-2774/oU85TCns7QAnBiEmCkifBBgxKvrAfYEWZABwtM.jpeg,7212600172143085570
original sound,Meagan Baker Yevtich,True,,https://v19.tiktokcdn-us.com/aaa59ee4e37c688b1cd4010f038800fa/670eaee4/video/tos/useast5/tos-useast5-v-27dcd7-tx/oEfYgf93wmNtIgEoAnGFwU6DBGJ24MJjPvSCGD/?a=1233&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=GSDrKInz7Th2m8EOXq8Zmo&mime_type=audio_mpeg&qs=6&rc=aGlmaGhoZjw6ZztoaGdlaEBpM3loNHE5cnBqdTMzZzU8NEBeYDY2MmJgNjMxLjUxYmFhYSNvM2pwMmQ0NGVgLS1kMS9zcw%3D%3D&vvpl=1&l=202410151204587CA043A66F338904D9AB&btag=e00088000&download=true,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7322697850411253765~c5_720x720.jpeg?lk3s=a5d48078&nonce=30321&refresh_token=602e2853bf5755477a40a35859946499&x-expires=1729166400&x-signature=4qPgcuFvnYPMZ%2Bq%2BdXNbA0hnP7U%3D&shp=a5d48078&shcp=b59d6b55,7413773584780233514
A Bar Song (Tipsy),Shaboozey,False,A Bar Song (Tipsy),https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/o4i1rUCTIiAYowkXAibiyAJMWOZmYj5BPagh6,https://p16-sg.tiktokcdn.com/aweme/200x200/tos-alisg-v-2774/oomgzHWwiYnhr02AP9AbiAAxUYxiAEHEAZBA7.jpeg,7354249271669344273
Pink Friday Girls,Nicki Minaj,False,Pink Friday 2,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/o8WbedrsK7DzB1llC3FEAfDma5FztgHYQZflgW,https://p16-sg.tiktokcdn.com/aweme/200x200/tos-alisg-v-2774/oUNS5BfLoMEAOhsBWYw9E2iigEABAzlrBlAsAV.jpeg,7310025944114022401
Halloween ・ cute horror song(191109),PeriTune,False,,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/54b5373fe7fb4585a5428c41ec777534,https://p16-sg.tiktokcdn.com/aweme/200x200/tos-alisg-v-2774/96e8017c3bef4b26aceee9fdc56d0135.jpeg,6830461770998482945
original sound - Oh_Sugar_by_Madu,Oh_Sugar_by_Madu,True,,https://v19.tiktokcdn-us.com/2bd3f9ac19349cf6f7df38a8beebcc7c/670eaedf/video/tos/useast5/tos-useast5-ve-27dcd7c799-tx/oUA8ZPKFMiwlAYAszyoKHMcUBZiCW9ytW7Ixi/?a=1233&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=GSDrKInz7Th2m8EOXq8Zmo&mime_type=audio_mpeg&qs=6&rc=Zjw1NmdmZmdoNjo1NWY6NkBpM3d1OHY5cjVldjMzODU8NEA0LS9fMC4wXzMxNGE1XzUtYSMyMGYyMmQ0MjNgLS1kMS1zcw%3D%3D&vvpl=1&l=202410151204587CA043A66F338904D9AB&btag=e00088000&download=true,https://p16-sign-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/b2f90c1788859c5e7bcd803ec82f1970.jpeg?lk3s=a5d48078&nonce=20174&refresh_token=0e236c151316505027401e6f78ef63db&x-expires=1729166400&x-signature=q5AgykweN%2FAhZDD4FXNUfpgtA1E%3D&shp=a5d48078&shcp=b59d6b55,7425506181009607441
original sound,DJ R-LO | The Peoples DJ,True,,https://v19.tiktokcdn-us.com/ce986c27e2a4e466b927b41d6f1462c1/670eaee7/video/tos/useast2a/tos-useast2a-v-2370-euttp/oEuV93HbIIne72BG0pNo7G6EdMRZef1egEsLyT/?a=1233&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=GSDrKInz7Th2m8EOXq8Zmo&mime_type=audio_mpeg&qs=6&rc=PGRnZDRnaWc8N2RpNWU8O0Bpajp3a3c5cmR0dDMzZjU8M0AyLjQ2NWAxNjQxLzM0MzE1YSNhc2dxMmRrY3FgLS1kMWNzcw%3D%3D&vvpl=1&l=202410151204587CA043A66F338904D9AB&btag=e00088000&download=true,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/2945d5c9956176717765586c5426a9c7~c5_720x720.jpeg?lk3s=a5d48078&nonce=96764&refresh_token=61e636945a1afcc39a47576b6410d05b&x-expires=1729166400&x-signature=8g5UXzQeAFCneb9MEODpjtD04CY%3D&shp=a5d48078&shcp=b59d6b55,7402694740893387552
sonido original,ALEXIS QUIXCHÁN MARTINEZ,True,,https://v19.tiktokcdn-us.com/f79ecc254e667c3623d21283b15f680d/670eaf25/video/tos/useast5/tos-useast5-v-27dcd7c799-tx/oA2MgQBvjjBB7e2TBb8DQHn8U0CJbOYUI2beJz/?a=1233&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=GSDrKInz7Th2m8EOXq8Zmo&mime_type=audio_mpeg&qs=6&rc=ZDMzaDwzZjQ1ODNnNmllOkBpanhwdTk6ZnltaTMzNzU8M0AvYmBjLl4wNTAxNS41Yy0vYSNrcmFycjQwMDZgLS1kMTZzcw%3D%3D&vvpl=1&l=202410151204587CA043A66F338904D9AB&btag=e00090000&download=true,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/907f85a8b552f456802b2c518a6cfc94~c5_720x720.jpeg?lk3s=a5d48078&nonce=43972&refresh_token=a812e3a18c3f8f35b430dc432740eaa9&x-expires=1729166400&x-signature=J88sEIQBLK%2B1cgnc3Q6%2BLAA5zdM%3D&shp=a5d48078&shcp=b59d6b55,7193147909825645318
Night/Chill/Lo-fi03(1417838),HAKUROU,False,,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/owhtfheQUInB7MQC3U3gbFD1kAMNZukBQDgCLB,https://p16-sg.tiktokcdn.com/aweme/200x200/tos-alisg-v-2774/501e939ffa8542a0a7e921d2cff5c560.jpeg,7223824145448159234
She Share Story (for Vlog),山口夕依,False,,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/25e54adf8848454ea3a40850545afd77,https://p16-sg.tiktokcdn.com/aweme/200x200/tos-alisg-v-2774/o43GTuWoiY3Vr4wAvxBciAHoURDHAEOEAZBA5.jpeg,6722656094272883458
Yummy,Justin Bieber,False,Yummy,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/90b12085b49446d086b2b46e9abca1b2,https://p16-sg.tiktokcdn.com/aweme/200x200/tos-alisg-v-2774/4a37b3c4e36042d4877705dd0a50de20.jpeg,6777580252097939457
original sound,Lorena Pages,True,,https://v16m.tiktokcdn-us.com/fa59e1eb208fa0b4bdef966fb375ef07/670eaedc/video/tos/useast5/tos-useast5-v-27dcd7-tx/f11e09904e124e7686d10b7caceefacf/?a=1233&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=GSDrKInz7Thnm8EOXq8Zmo&mime_type=audio_mpeg&qs=6&rc=NjtlOzw7Nmg4aTY4OztmM0BpanM8czM6ZjdkNjMzNzU8M0AvMzM1MTUtNjMxYWIwM2ItYSNkYTBxcjRfNmpgLS1kMTZzcw%3D%3D&vvpl=1&l=20241015120501F89DF3E3DFDFD704DCD4&btag=e00088000&download=true,https://p19-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7345875470337966126~c5_720x720.jpeg?lk3s=a5d48078&nonce=25071&refresh_token=74810f5b7131f62c3497a4638ff34394&x-expires=1729166400&x-signature=R9cT7SWjgpKYwSBtE3fv9njU3r8%3D&shp=a5d48078&shcp=b59d6b55,6984137943224961797
Just a Happy Day,Audiosphere,False,"Happy Kids Music: Sweet, Uplifting, Playful Instrumental Background Music",https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/37ce0f90af6d45be90aabdf8bec6d94b,https://p16-sg.tiktokcdn.com/aweme/200x200/tos-alisg-v-2774/6efdc7a061484c1e928581c3d7aef165.jpeg,7000731228911437825
weak,sounds,True,,https://v19.tiktokcdn-us.com/ee1f03477df8436b0879ec9139d1f111/670eaef2/video/tos/useast5/tos-useast5-v-27dcd7c799-tx/oIqhIbyCnBMkevJURjDHxCIdIBJUe3zQVUJA3C/?a=1233&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=GSDrKInz7Them8EOXq8Zmo&mime_type=audio_mpeg&qs=6&rc=OWk4ZjpoNjw6aDZoMzRmaUBpamw6M2Q6Zm5rajMzNzU8M0A1NDZiMV9fNmExYjQ1Yi9hYSNvNGVzcjRfb2VgLS1kMTZzcw%3D%3D&vvpl=1&l=202410151205030062B14F0B487903846F&btag=e00088000&download=true,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/ba4840bf2e522cce88f867fb68ac3fe1~c5_720x720.jpeg?lk3s=a5d48078&nonce=55315&refresh_token=9d2bd477b0072194cab38e0590923ae2&x-expires=1729166400&x-signature=uuhy7xgHQQz8r%2FKaSSidO1Boh6s%3D&shp=a5d48078&shcp=b59d6b55,7215643795291163397
My Rose,Muspace Lofi,False,Floating,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/973b4ae3ead643b9b8a953f3853d63e1,https://p16-sg.tiktokcdn.com/aweme/200x200/tos-alisg-v-2774/0d954d56ba684186b896f2e4134e9b4b.jpeg,7142916553271412737
Babylon,Patoranking,False,WORLD BEST,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/owJdBVtzQIPDZaltPjZdkAPYBBMChhyjfO1fMg,https://p16-sg.tiktokcdn.com/aweme/200x200/tos-alisg-v-2774/osEAByPW5AMABwswCsEBAfhAYjzHEgAxlNpWCo.jpeg,7274873315533408258
Cake,Soft boy,False,Cake,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/ecc39a2886954f4e8e6c4f1ce2cfb7cc,https://p16-sg.tiktokcdn.com/aweme/200x200/tos-alisg-v-2774/631d9213bf394fe083420d76ed5974f8.jpeg,7155750216765966338
"Valentine, love, piano solo(823923)",zomap,False,,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/ebce6c9efa7a47db85d5d6dded51760f,https://p16-sg.tiktokcdn.com/aweme/200x200/tos-alisg-v-2774/45dce671159540e4a05c7ad4efc719c3.jpeg,6839749483425712129
original sound,Your Sweet Biz w/Chef Letty,True,,https://v19.tiktokcdn-us.com/a44ada12dea533dbaa4e7a6596f2c57b/670eaede/video/tos/useast5/tos-useast5-v-27dcd7-tx/9217a674e74c44738efc0a9831661777/?a=1233&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=GSDrKInz7Them8EOXq8Zmo&mime_type=audio_mpeg&qs=6&rc=ZDVkMzc5OGc4ODtkOzY7Z0BpajdtMzc6ZmpuZDMzZzU8NEAzMDUvXzMyXzQxMy02YS5hYSNnZW5vcjRvNmVgLS1kMS9zcw%3D%3D&vvpl=1&l=202410151205030062B14F0B487903846F&btag=e00088000&download=true,https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7353572394574807086~c5_720x720.jpeg?lk3s=a5d48078&nonce=91539&refresh_token=19fccf720506a31b9c7d827c88e4f85d&x-expires=1729166400&x-signature=6ZxPljVC%2FLcsNux%2FMajpuGULhkY%3D&shp=a5d48078&shcp=b59d6b55,7107600140440980267
Play For Keeps,Runzo,False,500 Miles,,https://p16-sign-sg.tiktokcdn.com/tos-alisg-v-2774/7100eb98f8a54545a7980f35b240d172~200x200.jpeg?lk3s=08d74b56&x-expires=1729015503&x-signature=cN%2FhcRdjNGXvj1xWPnT%2Bz%2FKYzfk%3D,6900810762244065282
original sound,keitei Shimai,True,,https://v19.tiktokcdn-us.com/f7d95d09b80ccd8eb00944529f82300d/670eaf09/video/tos/useast5/tos-useast5-v-27dcd7c799-tx/bde9ad16b3c443a68699ff9aeaa30bf0/?a=1233&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=GSDrKInz7Them8EOXq8Zmo&mime_type=audio_mpeg&qs=6&rc=Omk1NmU5N2QzZjY1aDs3OkBpM287dDU6Zjo0ZzMzZjU8M0BeNTVhNC4yNTQxNV4tYS42YSMuNXNkcjRfbDNgLS1kMWNzcw%3D%3D&vvpl=1&l=202410151205030062B14F0B487903846F&btag=e00088000&download=true,https://p16-sign-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/a6539529d051e4f7290919b3e8c9acaf.jpeg?lk3s=a5d48078&nonce=55204&refresh_token=ed62c8ed4b84e3f3fbd67d00d916e277&x-expires=1729166400&x-signature=W4sJ3dDh65NPq70sqzotDCE7oQQ%3D&shp=a5d48078&shcp=b59d6b55,7155124830857055003
love song (hesitations) (sped up),Lofuu & Shiloh Dynasty & dprk,False,i miss you (hesitations deluxe),https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/oI5esggoDonCvQBeiZB6tjIEBq5BZtd6QjUobL,https://p16-sg.tiktokcdn.com/aweme/200x200/tos-alisg-v-2774/38a4ff2ff3304f85a81944cc57c28286.jpeg,7187218359857973250
original sound - So Yummy,So Yummy,True,,https://v19.tiktokcdn-us.com/a1688142948162cf04b3f294dbf70810/670eaf0c/video/tos/useast2a/tos-useast2a-v-2370-euttp/ooLd7DfEfQCMnb6P1YBZJQCM0pQTFDUqDsIgDU/?a=1233&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=GSDrKInz7Them8EOXq8Zmo&mime_type=audio_mpeg&qs=6&rc=Mzg5OWc6Zjg5NmVpZztpNkBpanc5Z3A5cnAzdjMzZjU8M0BiMGIuNTYyXjMxM2AvMy1iYSNyZDFhMmRzYDJgLS1kMWNzcw%3D%3D&vvpl=1&l=202410151205030062B14F0B487903846F&btag=e00090000&download=true,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/641a000154b50a832a3233cc0277e4a3~c5_720x720.jpeg?lk3s=a5d48078&nonce=70245&refresh_token=a440a863849bc8c903972079b1fa70cd&x-expires=1729166400&x-signature=6xGD9zZ2xZOeEjrCX0RO6Bka0qo%3D&shp=a5d48078&shcp=b59d6b55,7424753873598876449
original sound - So Yummy,So Yummy,True,,https://v19.tiktokcdn-us.com/33822bd6bc51403fa82363515a376d22/670eaf0c/video/tos/useast2a/tos-useast2a-v-2370-euttp/oYGm0OAEuA0IoeLToZYdoKEecDgeeXzUqIFQSG/?a=1233&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=GSDrKInz7Them8EOXq8Zmo&mime_type=audio_mpeg&qs=6&rc=ZjZkM2VmODVlZzNkNGQ5PEBpajl2dHY5cjUzdjMzZjU8M0BjYTIzYmNiX2IxNF41NmE1YSNjLWBxMmRzYTJgLS1kMWNzcw%3D%3D&vvpl=1&l=202410151205030062B14F0B487903846F&btag=e00090000&download=true,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/641a000154b50a832a3233cc0277e4a3~c5_720x720.jpeg?lk3s=a5d48078&nonce=70245&refresh_token=a440a863849bc8c903972079b1fa70cd&x-expires=1729166400&x-signature=6xGD9zZ2xZOeEjrCX0RO6Bka0qo%3D&shp=a5d48078&shcp=b59d6b55,7424754105316428576
Cute,Aurel Surya Lie,False,Cute,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/oUAiUzmBwJrIdB0giQ2XxZcQLYMYjHWPCAzHP,https://p16-sg.tiktokcdn.com/aweme/200x200/tos-alisg-v-2774/oIGBncDsFAlL3Of5AZEwCBrtvmKIIQAfglzp5E.jpeg,7136445672676411393
"Arabian Nights (""From Aladdin"")",Just Disney,False,"Arabian Nights (From ""Aladdin"")",https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/b771ba662bbf426ca042c378e7284ce6,https://p16-sg.tiktokcdn.com/aweme/200x200/tos-alisg-v-2774/e8700f9307774a6993f97e1b1ebdd0d5.jpeg,7140685803084056577
Emirate,Tzanca Uraganu & Manele Mentolate,False,Emirate,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/oQvk697DfQZAdo3QqBekCPkngOQIqBcvbDJtDc,https://p16-sg.tiktokcdn.com/aweme/200x200/tos-alisg-v-2774/33528e2ae0aa4894aafb13b27a2cdfa6.jpeg,7211126520381704194
